id;plan_type;plant_name;premium_value;from_date;to_date;content
1;deliverables reinvent 24 hour;overriding;70685;2019-05-23T13:18:44;2019-05-23T12:53:18;7175616e7469667920556e6272616e64656420506c61737469632054756e612046726f7a656e
2;generating Highway Ergonomic;moratorium moratorium;72960;2019-05-23T16:11:36;2019-05-23T15:04:59;434f4d
3;embrace Developer;synthesize Idaho compress;49379;2019-05-24T05:24:50;2019-05-23T17:50:20;706172746e657273686970732047726f6365727920496e74656c6c6967656e74
4;Dynamic;knowledge base Buckinghamshire;90756;2019-05-24T03:02:26;2019-05-24T00:24:05;72656c6174696f6e7368697073206f76657272696465
5;Brand;neutral Salad;92969;2019-05-23T15:24:00;2019-05-23T10:59:23;6465706f736974
6;Squares mint green e-business;Ghana back-end National;31800;2019-05-23T08:37:15;2019-05-24T03:44:35;50726f6669742d666f6375736564
7;Jewelery cutting-edge;Games;51074;2019-05-23T17:33:59;2019-05-23T20:22:00;6d6167656e746120436f6e6372657465
8;User-centric Gloves;Mauritania;70301;2019-05-23T20:41:33;2019-05-23T21:39:26;456e67696e656572
9;Exclusive Moroccan Dirham card;zero tolerance;3688;2019-05-23T23:58:54;2019-05-23T15:45:18;4265726b736869726520536d616c6c20506c61737469632050616e747320496e766573746f72
10;Canadian Dollar;Berkshire Designer;24205;2019-05-23T16:09:35;2019-05-23T14:15:12;6e61766967617465
